FID,NAME,CITY,PROV,ICAO_CODE,IATA_CODE,AER_TYPE,STATUS,NAME_ALIAS,PREC_CODE,ATTRIBCODE,POI_ID,Runway_Typ,length(ft),Accessible,x,y
1,CAMBRIDGE BAY,CAMBRIDGE BAY,NU,CYCB,YCB,LAND,ACTIVE,CAMBRIDGE BAY AIRPORT,8,1,POI2175837,Gravel,5076,Public,-105.13778,69.116827
2,KUGLUKTUK,KUGLUKTUK,NU,CYCO,YCO,LAND,ACTIVE,KUGLUKTUK AIRPORT,8,1,POI2176300,Gravel,5502,Public,-115.152344,67.815494
3,CHESTERFIELD INLET,CHESTERFIELD INLET,NU,CYCS,YCS,LAND,ACTIVE,CHESTERFIELD INLET AIRPORT,8,1,POI2175880,Gravel,3600,Public,-90.736827,63.346514
4,CLYDE RIVER,CLYDE RIVER,NU,CYCY,YCY,LAND,ACTIVE,CLYDE RIVER AIRPORT,8,1,POI2175908,Gravel,3501,Public,-68.519828,70.483874
5,ARVIAT,ARVIAT,NU,CYEK,YEK,LAND,ACTIVE,ARVIAT AIRPORT,8,1,POI2175786,Gravel,4004,Public,-94.07189,61.095587
6,IGLOOLIK,IGLOOLIK,NU,CYGT,YGT,LAND,ACTIVE,IGLOOLIK AIRPORT,8,1,POI2176218,Gravel,4905,Public,-81.824419,69.366849
7,GJOA HAVEN,GJOA HAVEN,NU,CYHK,YHK,LAND,ACTIVE,GJOA HAVEN AIRPORT,8,1,POI2176123,Gravel,4400,Public,-95.849722,68.635556
8,SANIRAJAK,SANIRAJAK,NU,CYUX,YUX,LAND,ACTIVE,SANIRAJAK AIRPORT,8,1,POI2176175,Gravel,5410,Public,-81.235208,68.772735
9,QIKIQTARJUAQ,QIKIQTARJUAQ,NU,CYVM,YVM,LAND,ACTIVE,QIKIQTARJUAQ AIRPORT,8,1,POI2176628,Gravel,3803,Public,-64.021831,67.545148
10,WHALE COVE,WHALE COVE,NU,CYXN,YXN,LAND,ACTIVE,WHALE COVE AIRPORT,8,1,POI2176994,Gravel,3937,Public,-92.601676,62.242523
11,PANGNIRTUNG,PANGNIRTUNG,NU,CYXP,YXP,LAND,ACTIVE,PANGNIRTUNG AIRPORT,8,1,POI2176541,Gravel,2920,Public,-65.717481,66.139533
12,ARCTIC BAY,ARCTIC BAY,NU,CJX7,JX7,LAND,ACTIVE,ARCTIC BAY AIRPORT,3,1,POI2175777,Gravel,3935,Public,-85.033056,73.005278
13,KUGAARUK,PELLY BAY,NU,CYBB,YBB,LAND,ACTIVE,KUGAARUK AIRPORT,3,1,POI2176299,Gravel,5000,Public,-89.807006,68.536266
14,BAKER LAKE,BAKER LAKE,NU,CYBK,YBK,LAND,ACTIVE,BAKER LAKE AIRPORT,3,1,POI2175801,Gravel,4195,Public,-96.076118,64.29841
15,EUREKA,"BAFFIN, UNORGANIZED",NU,CYEU,YEU,LAND,ACTIVE,EUREKA AIRPORT,3,1,POI2176043,Gravel,4802,Private,-85.816123,79.995496
16,IQALUIT,IQALUIT,NU,CYFB,YFB,LAND,ACTIVE,IQALUIT AIRPORT,3,1,POI2176237,Paved,8605,Public,-68.555833,63.756389
17,GRISE FIORD,GRISE FIORD,NU,CYGZ,YGZ,LAND,ACTIVE,GRISE FIORD AIRPORT,3,1,POI2176161,Gravel,1675,Public,-82.909156,76.425835
18,POND INLET,POND INLET,NU,CYIO,YIO,LAND,ACTIVE,POND INLET AIRPORT,3,1,POI2176580,Gravel,4006,Public,-77.964257,72.69114
19,KIMMIRUT,KIMMIRUT,NU,CYLC,YLC,LAND,ACTIVE,KIMMIRUT AIRPORT,3,1,POI2176283,Gravel,1899,Public,-69.875636,62.847788
20,ALERT,"BAFFIN, UNORGANIZED",NU,CYLT,YLT,LAND,ACTIVE,ALERT AIRPORT,3,1,POI2175755,Gravel,5500,Private,-62.359935,82.506188
21,RESOLUTE BAY,RESOLUTE BAY,NU,CYRB,YRB,LAND,ACTIVE,RESOLUTE BAY AIRPORT,3,1,POI2176659,Gravel,6504,Public,-94.969444,74.716944
22,RANKIN INLET,RANKIN INLET,NU,CYRT,YRT,LAND,ACTIVE,RANKIN INLET AIRPORT,3,1,POI2176649,Paved,6000,Public,-92.111128,62.809656
23,SANIKILUAQ,SANIKILUAQ,NU,CYSK,YSK,LAND,ACTIVE,SANIKILUAQ AIRPORT,3,1,POI2176697,Gravel,3807,Public,-79.246667,56.537778
24,CAPE DORSET,CAPE DORSET,NU,CYTE,YTE,LAND,ACTIVE,CAPE DORSET AIRPORT,3,1,POI2175848,Gravel,3988,Public,-76.524706,64.230214
25,NAUJAAT,NAUJAAT,NU,CYUT,YUT,LAND,ACTIVE,NAUJAAT AIRPORT,3,1,POI2176658,Gravel,3400,Public,-86.230388,66.522648
26,TALOYOAK,TALOYOAK,NU,CYYH,YYH,LAND,ACTIVE,TALOYOAK AIRPORT,3,1,POI2176850,Gravel,4014,Public,-93.576417,69.546126
27,CORAL HARBOUR,CORAL HARBOUR,NU,CYZS,YZS,LAND,ACTIVE,CORAL HARBOUR AIRPORT,3,1,POI2175925,Gravel,5006,Public,-83.359952,64.193776