FID,OBJECTID,UID,NAME,MUNICIPAL,PROV,LONGITUDE,LATITUDE,PPN_CODE,PREC_CODE,MJR_CITY,CAPITAL,PRCDCSD01,CSD_NAME01,CSD_POP01,PRCDCSD11,CSD_NAME11,CSD_POP11,PRCDCSD16,CSD_NAME16,CSD_POP16,PPN_ID,ELEVATION,RETIRED,ACCURACY,ACQ_TECH,VALDATE,PROVIDER,CGNDB_ID,x,y
1,3442,800D3349-36B0-45EE-848F-813004CE92FC,Hay River,HAY RIVER,NT,-115.779646,60.824059,2,1,0,0,6106016,HAY RIVER,3510,6105016,HAY RIVER,3606,6105016,HAY RIVER,3528,23096,160.215,0,24,6,20191215,2,LAKGC,-115.7796647,60.82406598
2,3443,020F9C50-0526-4476-9069-5CEEA015B1F9,Inuvik,INUVIK,NT,-133.720367,68.360605,2,2,0,0,6107017,INUVIK,2894,6101017,INUVIK,3463,6101017,INUVIK,3243,23097,31,0,24,6,20191215,2,LALNA,-133.720396,68.36060906
3,3445,1EB891BD-C1A9-4CD2-9590-7B82CBA30965,Fort Simpson,FORT SIMPSON,NT,-121.347627,61.861763,6,3,0,0,6106038,FORT SIMPSON,1163,6104038,FORT SIMPSON,1238,6104038,FORT SIMPSON,1202,23100,122,0,24,6,20191215,2,LAILM,-121.3476476,61.86176919
4,7828,0A8E8B71-96C0-42B3-B4DF-A59AF47747E6,Fort Good Hope,FORT GOOD HOPE,NT,-128.634021,66.255676,6,3,0,0,6107009,FORT GOOD HOPE,549,6102009,FORT GOOD HOPE,515,6102009,FORT GOOD HOPE,516,29546,40.108,0,24,6,20191215,2,LAIKL,-128.6340467,66.255681
5,7830,3F9CB337-C2B8-4230-AA76-4BBC5BD4A241,Aklavik,AKLAVIK,NT,-135.007788,68.219916,6,3,0,0,6107025,AKLAVIK,632,6101025,AKLAVIK,633,6101025,AKLAVIK,590,29548,6.005,0,24,6,20191215,2,LAATD,-135.007817,68.21991984
6,21142,12C3A40C-B815-4C01-B1AC-E826615841C8,Tuktoyaktuk,TUKTOYAKTUK,NT,-133.034181,69.445358,6,3,0,0,6107036,TUKTOYAKTUK,930,6101036,TUKTOYAKTUK,854,6101036,TUKTOYAKTUK,898,46857,0,0,24,6,20191215,2,LAYQV,-133.0342114,69.44536215
7,21204,4AE376C1-A46B-4902-8F5B-973166BDADD4,Tulita,TULITA,NT,-125.578056,64.901667,6,7,0,0,6107005,TULITA,473,6102005,TULITA,478,6102005,TULITA,477,47018,63.61,0,24,6,20191215,2,LCAMF,-125.5780798,64.90167253
8,22099,02712662-F391-4F40-8025-CDB16850BF66,Sachs Harbour,SACHS HARBOUR,NT,-125.246483,71.985123,6,1,0,0,6107041,SACHS HARBOUR,114,6101041,SACHS HARBOUR,112,6101041,SACHS HARBOUR,103,48688,13.485,0,24,6,20191215,2,LAUSB,-125.2465159,71.98512844
9,23508,F1908205-5D8C-436F-84EC-9366605B7DB9,Norman Wells,NORMAN WELLS,NT,-126.830138,65.280898,2,1,0,0,6107007,NORMAN WELLS,666,6102007,NORMAN WELLS,727,6102007,NORMAN WELLS,778,50138,61.008,0,24,6,20191215,2,LARCU,-126.8301624,65.28090332
10,25035,B44AEE33-61CA-4985-87CC-A281FA9A601C,Paulatuk,PAULATUK,NT,-124.071209,69.350935,6,1,0,0,6107014,PAULATUK,286,6101014,PAULATUK,313,6101014,PAULATUK,265,51681,1.001,0,24,6,20191215,2,LASFJ,-124.0712374,69.35094071
11,25607,742495B7-5406-46D8-B92C-64E1FA7BF707,Ulukhaktok,ULUKHAKTOK,NT,-117.772229,70.73691,6,2,0,0,6107095,HOLMAN,398,6101095,ULUKHAKTOK,402,6101095,ULUKHAKTOK,396,52273,5.117,0,24,6,20191215,2,LCAVX,-117.7722576,70.73691673
12,25610,BAE92AAF-40D2-4922-9DAE-C1C703F0BC48,Lutselk'e,LUTSELK'E,NT,-110.736935,62.405494,6,2,0,0,6106020,LUTSELK'E,248,6105020,LUTSELK'E,295,6105020,LUTSELK'E,303,52278,167.222,0,24,6,20191215,2,LCABE,-110.7369533,62.40550172